iter	Passed	Remaining
0	2	2310
1	4	2053
2	5	1952
3	7	1962
4	9	1936
5	11	1935
6	13	1915
7	15	1906
8	17	1910
9	19	1895
10	20	1887
11	22	1868
12	24	1856
13	26	1850
14	28	1842
15	29	1821
16	31	1793
17	32	1787
18	34	1767
19	35	1755
20	37	1740
21	38	1724
22	40	1710
23	41	1703
24	43	1693
25	45	1685
26	46	1675
27	48	1668
28	49	1661
29	51	1652
30	52	1643
31	53	1628
32	55	1622
33	56	1615
34	58	1612
35	59	1588
36	60	1583
37	62	1581
38	64	1581
39	65	1579
40	67	1575
41	68	1572
42	70	1569
43	71	1563
44	73	1561
45	75	1556
46	75	1535
47	77	1536
48	79	1535
49	80	1533
50	82	1534
51	84	1532
52	85	1530
53	87	1527
54	88	1523
55	90	1520
56	91	1518
57	93	1516
58	95	1515
59	96	1515
60	98	1512
61	99	1510
62	101	1507
63	102	1505
64	104	1502
65	106	1500
66	107	1497
67	109	1495
68	110	1495
69	112	1492
70	113	1489
71	115	1486
72	116	1484
73	118	1480
74	119	1473
75	121	1471
76	122	1469
77	124	1466
78	125	1464
79	127	1463
80	128	1461
81	130	1458
82	131	1455
83	133	1453
84	134	1450
85	136	1445
86	137	1443
87	139	1441
88	140	1438
89	141	1427
90	142	1426
91	144	1424
92	145	1422
93	146	1413
94	148	1411
95	149	1409
96	151	1407
97	152	1405
98	154	1403
99	155	1401
100	157	1400
101	158	1398
102	160	1396
103	161	1394
104	163	1393
105	165	1391
106	166	1390
107	168	1388
108	169	1386
109	171	1384
110	172	1383
111	174	1382
112	175	1381
113	177	1378
114	179	1377
115	180	1375
116	182	1373
117	183	1372
118	185	1370
119	186	1368
120	188	1366
121	189	1366
122	191	1364
123	193	1363
124	194	1361
125	196	1360
126	197	1358
127	199	1355
128	200	1353
129	201	1351
130	203	1349
131	205	1348
132	206	1347
133	208	1346
134	209	1344
135	211	1343
136	213	1342
137	214	1339
138	215	1337
139	217	1334
140	218	1332
141	220	1331
142	221	1330
143	223	1328
144	225	1327
145	226	1325
146	228	1323
147	229	1321
148	231	1320
149	232	1319
150	234	1317
151	235	1316
152	237	1314
153	238	1312
154	240	1311
155	241	1309
156	243	1307
157	244	1305
158	246	1303
159	248	1302
160	249	1300
161	251	1299
162	252	1298
163	254	1297
164	255	1295
165	257	1293
166	258	1287
167	259	1285
168	260	1281
169	262	1280
170	263	1278
171	265	1277
172	266	1275
173	268	1275
174	270	1273
175	271	1271
176	273	1269
177	274	1268
178	276	1266
179	277	1265
180	279	1263
181	281	1263
182	282	1261
183	284	1260
184	285	1258
185	287	1256
186	288	1255
187	290	1253
188	291	1251
189	293	1249
190	294	1248
191	296	1246
192	297	1245
193	299	1243
194	300	1242
195	302	1240
196	303	1238
197	305	1237
198	306	1235
199	308	1233
200	310	1232
201	311	1230
202	313	1229
203	314	1225
204	315	1224
205	317	1223
206	318	1221
207	320	1219
208	321	1218
209	323	1217
210	325	1215
211	326	1213
212	328	1212
213	329	1210
214	331	1209
215	332	1208
216	334	1206
217	335	1204
218	337	1202
219	338	1201
220	340	1200
221	342	1198
222	343	1197
223	345	1195
224	346	1194
225	348	1193
226	349	1189
227	350	1188
228	352	1186
229	353	1184
230	355	1183
231	356	1181
232	358	1179
233	359	1178
234	361	1176
235	362	1175
236	364	1173
237	365	1171
238	367	1169
239	369	1168
240	370	1167
241	372	1165
242	373	1164
243	375	1162
244	376	1160
245	377	1156
246	378	1155
247	380	1153
248	381	1152
249	383	1150
250	385	1149
251	386	1147
252	388	1146
253	389	1144
254	391	1143
255	392	1141
256	394	1140
257	396	1139
258	397	1137
259	399	1136
260	400	1134
261	402	1133
262	403	1131
263	405	1130
264	406	1128
265	408	1127
266	410	1125
267	411	1124
268	413	1122
269	414	1119
270	415	1118
271	417	1116
272	418	1115
273	420	1113
274	421	1111
275	423	1110
276	424	1109
277	426	1107
278	428	1106
279	429	1104
280	431	1102
281	432	1101
282	434	1099
283	435	1098
284	437	1096
285	438	1094
286	440	1093
287	441	1091
288	442	1089
289	444	1088
290	445	1086
291	447	1084
292	448	1083
293	450	1081
294	452	1080
295	453	1078
296	455	1077
297	456	1075
298	457	1073
299	459	1072
300	461	1070
301	462	1069
302	464	1067
303	465	1065
304	467	1064
305	468	1062
306	470	1061
307	471	1059
308	473	1058
309	474	1056
310	476	1055
311	477	1053
312	479	1051
313	480	1050
314	482	1048
315	483	1047
316	485	1045
317	486	1044
318	488	1042
319	489	1040
320	491	1039
321	492	1037
322	494	1036
323	495	1034
324	497	1032
325	498	1029
326	499	1028
327	501	1026
328	502	1025
329	504	1023
330	505	1022
331	507	1021
332	508	1019
333	510	1017
334	511	1016
335	513	1014
336	514	1013
337	516	1011
338	518	1010
339	519	1008
340	521	1006
341	522	1005
342	524	1004
343	525	1002
344	527	1000
345	528	999
346	530	998
347	531	996
348	533	994
349	535	993
350	536	991
351	537	989
352	539	988
353	540	986
354	542	984
355	543	983
356	545	982
357	546	980
358	548	979
359	549	977
360	551	976
361	552	974
362	554	972
363	555	971
364	557	969
365	558	968
366	560	966
367	561	964
368	563	963
369	564	961
370	566	960
371	568	959
372	569	957
373	571	956
374	572	954
375	574	953
376	575	951
377	577	950
378	578	948
379	580	947
380	582	945
381	583	944
382	585	942
383	586	941
384	588	939
385	589	938
386	591	936
387	592	935
388	594	933
389	595	931
390	597	930
391	598	928
392	600	927
393	601	925
394	603	924
395	605	922
396	606	921
397	608	919
398	609	918
399	611	916
400	612	915
401	614	913
402	615	912
403	617	910
404	618	908
405	620	907
406	621	905
407	623	904
408	624	902
409	626	901
410	627	899
411	629	897
412	630	896
413	631	894
414	633	892
415	634	891
416	636	889
417	637	888
418	639	886
419	640	884
420	642	883
421	643	882
422	645	880
423	646	878
424	648	877
425	650	875
426	651	874
427	653	872
428	654	871
429	656	869
430	657	868
431	659	866
432	660	865
433	662	863
434	663	862
435	665	860
436	666	859
437	668	857
438	670	856
439	671	854
440	673	853
441	674	851
442	676	850
443	677	848
444	679	847
445	681	846
446	682	844
447	684	842
448	685	841
449	687	839
450	688	838
451	690	836
452	691	835
453	693	834
454	695	832
455	696	831
456	698	829
457	699	828
458	701	826
459	702	824
460	703	822
461	705	821
462	706	819
463	708	818
464	710	817
465	711	815
466	713	814
467	713	811
468	715	809
469	716	808
470	718	806
471	719	805
472	721	803
473	722	802
474	724	800
475	725	799
476	727	797
477	728	796
478	730	794
479	731	792
480	733	791
481	734	789
482	736	788
483	737	786
484	739	785
485	740	783
486	742	782
487	743	780
